Posición,Ciudad,Prefectura,Pob.,Posición,Ciudad,Prefectura,Pob.
1,Tokio,Tokio,13 185 502,11,Hiroshima,Hiroshima,1 174 209
2,Yokohama,Kanagawa,3 689 603,12,Sendai,Miyagi,1 045 903
3,Osaka,Osaka,2 668 371,13,Kitakyushu,Fukuoka,977 288
4,Nagoya,Aichi,2 263 907,14,Chiba,Chiba,962 130
5,Sapporo,Hokkaidō,1 914 434,15,Sakai,Osaka,842 134
6,Kōbe,Hyōgo,1 544 873,16,Niigata,Niigata,812 192
7,Kioto,Kioto,1 474 473,17,Hamamatsu,Shizuoka,800 912
8,Fukuoka,Fukuoka,1 463 826,18,Kumamoto,Kumamoto,737 294
9,Kawasaki,Kanagawa,1 425 678,19,Sagamihara,Kanagawa,717 561
10,Saitama,Saitama,1 222 910,20,Shizuoka,Shizuoka,716 328
